CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;512;1536;1024;100;14
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;475
RefMandelCalculator;1024;3072;2048;100;476
LineMandelCalculator;1024;3072;2048;100;54
LineMandelCalculator;1024;3072;2048;100;54
LineMandelCalculator;1024;3072;2048;100;53
BatchMandelCalculator;512;1536;1024;100;13
BatchMandelCalculator;512;1536;1024;100;13
RefMandelCalculator;2048;6144;4096;100;1887
BatchMandelCalculator;512;1536;1024;100;13
RefMandelCalculator;2048;6144;4096;100;1898
RefMandelCalculator;2048;6144;4096;100;1888
LineMandelCalculator;2048;6144;4096;100;224
LineMandelCalculator;2048;6144;4096;100;224
LineMandelCalculator;2048;6144;4096;100;225
BatchMandelCalculator;1024;3072;2048;100;47
BatchMandelCalculator;1024;3072;2048;100;47
RefMandelCalculator;4096;12288;8192;100;7533
BatchMandelCalculator;1024;3072;2048;100;47
RefMandelCalculator;4096;12288;8192;100;7565
RefMandelCalculator;4096;12288;8192;100;7528
LineMandelCalculator;4096;12288;8192;100;919
LineMandelCalculator;4096;12288;8192;100;915
LineMandelCalculator;4096;12288;8192;100;918
BatchMandelCalculator;2048;6144;4096;100;163
BatchMandelCalculator;2048;6144;4096;100;164
RefMandelCalculator;512;1536;1024;1000;1040
BatchMandelCalculator;2048;6144;4096;100;165
RefMandelCalculator;512;1536;1024;1000;1040
RefMandelCalculator;512;1536;1024;1000;1040
LineMandelCalculator;512;1536;1024;1000;95
LineMandelCalculator;512;1536;1024;1000;95
LineMandelCalculator;512;1536;1024;1000;95
BatchMandelCalculator;4096;12288;8192;100;601
BatchMandelCalculator;4096;12288;8192;100;604
RefMandelCalculator;1024;3072;2048;1000;4165
BatchMandelCalculator;4096;12288;8192;100;605
RefMandelCalculator;1024;3072;2048;1000;4164
RefMandelCalculator;1024;3072;2048;1000;4167
LineMandelCalculator;1024;3072;2048;1000;355
LineMandelCalculator;1024;3072;2048;1000;355
LineMandelCalculator;1024;3072;2048;1000;357
BatchMandelCalculator;512;1536;1024;1000;91
BatchMandelCalculator;512;1536;1024;1000;90
RefMandelCalculator;2048;6144;4096;1000;16653
BatchMandelCalculator;512;1536;1024;1000;90
RefMandelCalculator;2048;6144;4096;1000;16660
RefMandelCalculator;2048;6144;4096;1000;16655
LineMandelCalculator;2048;6144;4096;1000;1472
LineMandelCalculator;2048;6144;4096;1000;1485
LineMandelCalculator;2048;6144;4096;1000;1484
BatchMandelCalculator;1024;3072;2048;1000;287
BatchMandelCalculator;1024;3072;2048;1000;287
RefMandelCalculator;4096;12288;8192;1000;66611
BatchMandelCalculator;1024;3072;2048;1000;287
RefMandelCalculator;4096;12288;8192;1000;66592
RefMandelCalculator;4096;12288;8192;1000;66661
LineMandelCalculator;4096;12288;8192;1000;6238
LineMandelCalculator;4096;12288;8192;1000;6256
LineMandelCalculator;4096;12288;8192;1000;6254
BatchMandelCalculator;2048;6144;4096;1000;907
BatchMandelCalculator;2048;6144;4096;1000;906
BatchMandelCalculator;2048;6144;4096;1000;897
BatchMandelCalculator;4096;12288;8192;1000;3095
BatchMandelCalculator;4096;12288;8192;1000;3068
BatchMandelCalculator;4096;12288;8192;1000;3087
